plant_name,plant_code,region,state,fuel_types,primary_technology
Kearsarge Bellingham PV,61373,New England,MA,SUN,Solar Photovoltaic
Kearsarge Concord II,61814,New England,MA,SUN,Solar Photovoltaic
Kearsarge GB,62550,New England,MA,SUN,Solar Photovoltaic
Kearsarge Gill,62911,New England,MA,SUN,Solar Photovoltaic
Kearsarge Granby,61815,New England,MA,SUN,Solar Photovoltaic
Kearsarge Haverhill,64618,New England,MA,"MWH, SUN",Multiple
Kearsarge Ludlow LLC,65688,New England,MA,SUN,Solar Photovoltaic
Kearsarge Montague,62557,New England,MA,SUN,Solar Photovoltaic
Kearsarge Montague BD(CSG),64620,New England,MA,"MWH, SUN",Multiple
Kearsarge Southwick LLC,60867,New England,MA,SUN,Solar Photovoltaic
Kearsarge Uxbridge,62552,New England,MA,SUN,Solar Photovoltaic
Kearsarge William Way,64617,New England,MA,"MWH, SUN",Multiple
Kearsarge Wilmington,62559,New England,MA,SUN,Solar Photovoltaic
Kendall Square Station,1595,New England,MA,"DFO, NG",Multiple
Kenmare - Mansfield Branch Street,64137,New England,MA,SUN,Solar Photovoltaic
Kingston Wind Independence,59022,New England,MA,WND,Onshore Wind Turbine
Lakeville Solar,63672,New England,MA,SUN,Solar Photovoltaic
Lane Ave Solar LLC,63041,New England,MA,SUN,Solar Photovoltaic
Lawrence Hydroelectric Associates,50545,New England,MA,WAT,Conventional Hydroelectric
"Ledeaux Solar, LLC CSG",63572,New England,MA,SUN,Solar Photovoltaic
Lee Site 31 Solar,62265,New England,MA,SUN,Solar Photovoltaic
Leicester One MA Solar LLC,58282,New England,MA,SUN,Solar Photovoltaic
Leominster,60073,New England,MA,SUN,Solar Photovoltaic
Leominster (MA)-South Street-R&D,59745,New England,MA,SUN,Solar Photovoltaic
Lepomis PV Energy LLC,59085,New England,MA,SUN,Solar Photovoltaic
Long Plain Solar,65716,New England,MA,SUN,Solar Photovoltaic
Lowell Solar Landfill,59873,New England,MA,SUN,Solar Photovoltaic
Ludlow Landfill,59135,New England,MA,SUN,Solar Photovoltaic
Ludlow Site 72 - Conti,62097,New England,MA,SUN,Solar Photovoltaic
M Street Jet,10176,New England,MA,KER,Petroleum Liquids
MA Military Reservation Wind Project,57253,New England,MA,WND,Onshore Wind Turbine
MA Solar Storage 1 Hybrid,61730,New England,MA,"MWH, SUN",Multiple
MDFA Devens-Saratoga,61350,New England,MA,SUN,Solar Photovoltaic
MM Taunton Energy,55093,New England,MA,LFG,Landfill Gas
Maple(CSG),64731,New England,MA,"MWH, SUN",Multiple
Marshfield PV,58410,New England,MA,SUN,Solar Photovoltaic
Mashpee Landfill Solar,59980,New England,MA,SUN,Solar Photovoltaic
Mass Inst Tech Cntrl Utilities/Cogen Plt,54907,New England,MA,NG,Natural Gas Fired Combustion Turbine
Mass Midstate Solar 1,58279,New England,MA,SUN,Solar Photovoltaic
Mass Midstate Solar 2,58276,New England,MA,SUN,Solar Photovoltaic
Mass Midstate Solar 3,58275,New England,MA,SUN,Solar Photovoltaic
Masspower,10726,New England,MA,NG,Natural Gas Fired Combined Cycle
Maynard PV,58412,New England,MA,SUN,Solar Photovoltaic
McDougle-Mitchell Solar Project Hybrid CSG,63470,New England,MA,"MWH, SUN",Multiple
Meadow Solar,60756,New England,MA,SUN,Solar Photovoltaic
Medical Area Total Energy Plant,10883,New England,MA,"DFO, NG",Multiple
Mendon,64575,New England,MA,SUN,Solar Photovoltaic
Merrimac Solar,58561,New England,MA,SUN,Solar Photovoltaic
Methuen Landfill,59136,New England,MA,SUN,Solar Photovoltaic
Middleton Solar Park,63214,New England,MA,"MWH, SUN",Multiple
Milford Power LP,54805,New England,MA,NG,Natural Gas Fired Combined Cycle
Millbury Solar,58280,New England,MA,SUN,Solar Photovoltaic
Millennium Power,55079,New England,MA,NG,Natural Gas Fired Combined Cycle
Minuteman Energy Storage,62644,New England,MA,MWH,Batteries
Monson Solar,59464,New England,MA,SUN,Solar Photovoltaic
"Monson Solar, LLC",62203,New England,MA,SUN,Solar Photovoltaic
